Sunny Days (days),Cold Beverage Sales ($)
25,358.4020309341871
22,245.4920691030004
30,276.58003349870967
13,171.9921690099338
6,65.92769653715581
26,239.36431296025395
8,116.13610556787121
14,118.27948502499466
14,132.66609633820602
25,247.63697701573685
9,82.4826623783502
27,254.60327191053474
12,138.6335054194824
18,234.71054689066256
30,393.83071996982306
6,87.95084453343853
16,209.6841347834427
19,232.84576306863278
28,217.08023607186422
3,30.751705131251505
29,306.5672056900636
4,29.65095227383979
22,234.43412306158885
6,62.08382792861935
12,169.3316536290308
14,215.92608046938625
10,110.78146631377237
28,243.63660554884513
3,30.26026923855914
12,180.6228180044452
6,91.82881315980919
26,216.7327737050013
18,226.87434031182272
21,124.47090996408494
27,196.94836892051214
1,12.889217318802057
9,95.21384691689826
12,189.89805429116242
29,362.1748463807831
24,211.80835172677826
20,250.99943674815404
5,87.43201518225888
27,405.4387253282641
27,170.8352345081514
11,110.82327337304223
11,77.46964845165247
19,177.34328226553401
29,209.2578571258412
29,341.60471888754853
10,93.35631789649497
25,180.49060810240994
22,176.31801514311906
27,236.36150022931557
24,205.37649030119496
6,63.94259608937973
29,160.9830807936734
0,2.3937756270567725
0,8.668413357386484
24,271.34497703738054
26,219.1376341976561
29,194.46606711196233
24,148.24377099051728
19,283.02768338530984
12,123.92756152956352
8,94.23136886629361
2,41.71956150437038
6,53.034754305755584
5,81.13344934778787
7,82.36249466395923
26,178.08961204076076
8,81.52478939509416
29,383.3200566530783
4,41.55216656506758
0,14.157713788546413
18,168.85107802996964
9,121.71610119905289
11,104.93177233041949
23,313.32588225765153
14,162.65793589053118
26,155.87201806292478
21,120.22689236716533
23,158.12880479100326
8,53.634706073620436
19,113.0723461603476
16,203.53170702991085
29,322.4689108228465
16,212.33382386207302
25,354.7964020401924
19,217.0652881010374
11,135.71921597693486
29,390.390406952633
6,73.84940639146956
1,14.081155909319337
2,12.872570575161317
16,125.83893438642383
4,40.08431818633773
16,114.34710513109034
23,326.645640945233
16,210.18196782620535
26,152.81885511103164
16,134.13582300873907
1,10.393759420917258
1,15.714581667710657
27,273.8048489553841
21,286.4330522637555
22,192.24846659171715
4,62.83490215736099
0,19.32501616998737
0,14.102412191356128
18,248.04578045148693
29,326.7500405097384
1,20.58726717663623
20,202.7637586325609
11,149.4220446161889
25,297.5742360143868
5,73.92104571516082
22,317.3500526169213
3,37.673430034210156
22,331.9892277660385
10,116.16743769710627
23,274.4000380177409
26,289.453087862097
16,104.08656770032084
30,379.0672494458867
5,61.60995856943009
23,224.65552330623908
4,70.73016626011531
19,164.874969261768
1,10.773292833630293
5,68.46654856849689
21,277.8489361854771
10,103.97998794629112
30,409.2752666703816
15,200.1055593436026
15,93.28582300211251
0,8.244296530895806
8,105.20139689546087
27,241.5875135242081
26,190.8545324289115
5,61.20476305951981
15,138.69344684547983
28,302.88585453845343
2,26.183481984361094
19,214.93560679582836
27,262.3151622062108
26,318.46082871859556
3,39.95604111277288
18,230.88859863350322
25,246.54238496465936
2,34.3409922367412
30,313.72803708894946
18,272.914043824741
19,225.00149111241345
6,50.59252509101879
19,264.7962984671597
8,80.99810728175115
0,9.759852346429117
7,53.71962637478323
6,73.46131790107754
17,190.02242422757044
7,67.44588705445011
0,6.382815929465874
10,76.53056747625243
27,236.28106981541072
24,208.3964018438488
24,150.43129895521014
17,184.54076437220138
22,265.729708739869
30,307.6403890155235
29,205.23436051351533
9,93.25621879250187
2,21.82071438263227
6,90.65830531262117
27,170.33170271973617
15,183.19586382391225
25,394.14198000607496
15,157.20652837072413
24,349.6754215895412
19,147.45327497738265
27,358.3205577716465
16,162.59604570293945
1,24.77433657924238
0,8.715948457904831
15,115.3514275336722
29,201.10910349039102
11,142.4157392684999
4,55.879011551786164
4,57.11520186866783
26,145.6008043276658
22,304.1550218641718
8,84.10465507274688
8,74.50597411395457
2,31.924020872918177
18,242.54705026711474
15,110.41728046209619
15,171.23724065347454
2,36.452782327206506
19,126.45794645709913
23,254.50056641639424
21,165.26543138605857
23,206.2187623329052
0,6.896978680302419
23,208.8575595886918
19,229.09015005001936
10,103.39923773166824
16,183.40173200755154
7,94.66166068771352
3,38.68479006942283
5,58.59431569504011
7,84.82461164283228
19,173.06442889911824
29,250.50404096134275
2,43.36856931898669
15,179.29386385037782
29,220.96858184544354
24,251.3389028232778
2,27.270873116939057
24,362.5945187450372
28,159.0253466819023
17,125.63783198258062
13,126.8020249024205
17,184.25365239560395
1,26.304971222003118
21,131.77934043495924
2,48.18426731040855
15,96.60506980818141
28,395.730651252132
8,60.88823037732857
3,27.86794774396735
0,7.101495442631863
3,54.797141652289326
0,8.890437736032235
13,143.80719953648943
20,296.73053049190486
15,93.63176596943785
19,288.77124348681986
23,248.69050172564408
7,87.81481283421563
6,94.52350613113717
2,42.72674659375812
16,174.5857242222804
0,9.069717474285596
15,216.0012096846157
11,90.08848716623818
26,381.6914005738034
18,223.7545804179178
21,156.82870700080986
22,275.1258895152421
21,223.895533285885
13,160.21648530755814
29,375.8052022656563
5,37.68139534287797
5,62.06397120093592
12,181.38292445083457
18,160.22954319391633
21,241.63317052452834
7,76.00283367701428
26,262.4785879817665
26,286.4774298395934
1,36.01355694122338
20,152.0831056492588
29,366.4936064044459
0,12.061092011219667
27,182.06843425531605
14,78.51370000694017
0,17.548628992242147
4,57.12916500651538
27,311.6464271649001
28,378.06877986312304
15,94.6187851874
18,245.3870436904008
3,53.61087019544881
2,27.536308369203226
16,243.01660282298025
16,244.9622764834021
11,95.83514145437996
27,239.68962458078093
29,416.7424074086028
28,359.2685921289193
13,68.2030947504169
20,268.1957406907576
5,75.86041438089171
2,31.33027889930612
27,359.87532610531736
8,111.77299666997473
4,45.16747920176826
23,188.231587036758
28,324.02370990770794
16,236.6362052613452
13,109.48017334386407
20,233.026595954027
30,370.1296648983563
2,27.562660862442335
27,337.8056881030375
0,9.531172752386645
19,215.48700422614777
30,329.66433931239055
28,269.01374291432273
20,221.6965078199355
22,197.42764012773793
0,14.977742926811393
2,27.680633518303324
17,96.56432299942165
24,180.53110351830344
9,105.97714005060175
30,300.4071943799787
21,178.59171520975593
25,311.1547753649212
2,26.31137464387269
7,48.48752824304011
13,195.25024229895413
23,246.42087694973398
17,221.93713436153973
14,157.90255503533015
21,333.47116827832025
22,286.39822661682354
1,27.51698815923676
